hs_code,product_desc,unit,general_rate,applicable_origin
0101.21.00,Purebred breeding animals,,Free,ALL
0101.21.00.10,Males,"[""No.""]",,ALL
0101.21.00.20,Females,"[""No.""]",,ALL
0101.29.00,Other,,Free,ALL
0101.29.00.10,Imported for immediate slaughter,"[""No.""]",,ALL
0101.29.00.90,Other,"[""No.""]",,ALL
0101.30.00.00,Asses,"[""No.""]",6.80%,ALL
0101.90.30.00,Imported for immediate slaughter,"[""No.""]",Free,ALL
0101.90.40.00,Other,"[""No.""]",4.50%,ALL
0102.21.00,Purebred breeding animals,,Free,ALL
0102.21.00.10,Male,"[""No.""]",,ALL
0102.21.00.20,Female,"[""No.""]",,ALL
0102.21.00.30,Male,"[""No.""]",,ALL
0102.21.00.50,Female,"[""No.""]",,ALL
0102.29.20,Cows imported specially for dairy purposes,,Free,ALL
0102.29.20.11,Weighing less than 90 kg each,"[""No."",""kg""]",,ALL
0102.29.20.12,Weighing 90 kg or more each,"[""No."",""kg""]",,ALL
0102.29.40,Other,,1¢/kg,ALL
0102.29.40.24,Male,"[""No."",""kg""]",,ALL
0102.29.40.28,Female,"[""No."",""kg""]",,ALL
0102.29.40.34,Male,"[""No."",""kg""]",,ALL
0102.29.40.38,Female,"[""No."",""kg""]",,ALL
0102.29.40.54,Male,"[""No."",""kg""]",,ALL
0102.29.40.58,Female,"[""No."",""kg""]",,ALL
0102.29.40.62,Steers,"[""No."",""kg""]",,ALL
0102.29.40.64,Bulls,"[""No."",""kg""]",,ALL
0102.29.40.66,Cows,"[""No."",""kg""]",,ALL
0102.29.40.68,Heifers,"[""No."",""kg""]",,ALL
0102.29.40.72,Male,"[""No."",""kg""]",,ALL
0102.29.40.74,Female,"[""No."",""kg""]",,ALL
0102.29.40.82,Male,"[""No."",""kg""]",,ALL
0102.29.40.84,Female,"[""No."",""kg""]",,ALL
0102.31.00,Purebred breeding animals,,Free,ALL
0102.31.00.10,Male,"[""No.""]",,ALL
0102.31.00.20,Female,"[""No.""]",,ALL
0102.39.00,Other,,1¢/kg,ALL
0102.39.00.10,Bison,"[""No."",""kg""]",,ALL
0102.39.00.24,Male,"[""No."",""kg""]",,ALL
0102.39.00.28,Female,"[""No."",""kg""]",,ALL
0102.39.00.34,Male,"[""No."",""kg""]",,ALL
0102.39.00.38,Female,"[""No."",""kg""]",,ALL
0102.39.00.54,Male,"[""No."",""kg""]",,ALL
0102.39.00.58,Female,"[""No."",""kg""]",,ALL
0102.39.00.61,For immediate slaughter,"[""No."",""kg""]",,ALL
0102.39.00.72,Male,"[""No."",""kg""]",,ALL
0102.39.00.74,Female,"[""No."",""kg""]",,ALL
0102.39.00.82,Male,"[""No."",""kg""]",,ALL
0102.39.00.84,Female,"[""No."",""kg""]",,ALL
0102.90.00.00,Other,"[""No."",""kg""]",1¢/kg,ALL
0103.10.00.00,Purebred breeding animals,"[""No.""]",Free,ALL
0103.91.00,Weighing less than 50 kg each,,Free,ALL
0103.91.00.10,Weighing less than 7 kg each,"[""No."",""kg""]",,ALL
0103.91.00.20,Weighing 7 kg or more but less than 23 kg each,"[""No."",""kg""]",,ALL
0103.91.00.30,Weighing 23 kg or more but less than 50 kg each,"[""No."",""kg""]",,ALL
0103.92.00,Weighing 50 kg or more each,,Free,ALL
0103.92.00.10,Imported for immediate slaughter,"[""No."",""kg""]",,ALL
0103.92.00.20,Breeding animals other than purebred breeding animals,"[""No."",""kg""]",,ALL
0103.92.00.91,Other,"[""No."",""kg""]",,ALL
0104.10.00.00,Sheep,"[""No."",""kg""]",Free,ALL
0104.20.00.00,Goats,"[""No.""]",68¢/head,ALL
0105.11.00,Chickens,,0.9¢ each,ALL
0105.11.00.10,Layer-type (egg-type),"[""No.""]",,ALL
0105.11.00.20,Broiler-type (meat-type),"[""No.""]",,ALL
0105.11.00.40,Other,"[""No.""]",,ALL
0105.12.00.00,Turkeys,"[""No.""]",0.9¢ each,ALL
0105.13.00.00,Ducks,"[""No.""]",0.9¢ each,ALL
0105.14.00.00,Geese,"[""No.""]",0.9¢ each,ALL
0105.15.00.00,Guinea fowls,"[""No.""]",0.9¢ each,ALL
0105.94.00.00,Chickens,"[""No."",""kg""]",2¢/kg,ALL
0105.99.00.00,Other,"[""No."",""kg""]",2¢/kg,ALL
0106.11.00.00,Primates,"[""No.""]",Free,ALL
0106.12.01.00,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","[""No.""]",Free,ALL
0106.13.00.00,Camels and other camelids (Camelidae),"[""No.""]",Free,ALL
0106.14.00.00,Rabbits and hares,"[""No.""]",Free,ALL
0106.19.30.00,Foxes,"[""No.""]",4.80%,ALL
0106.19.91,Other,,Free,ALL
0106.19.91.20,Dogs,"[""No.""]",,ALL
0106.19.91.95,Other,"[""No.""]",,ALL
0106.20.00.00,Reptiles (including snakes and turtles),"[""No.""]",Free,ALL
0106.31.00.00,Birds of prey,"[""No.""]",1.80%,ALL
0106.32.00.00,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)","[""No.""]",1.80%,ALL
0106.33.00.00,Ostriches; emus (Dromaius novaehollandiae),"[""No.""]",1.80%,ALL
0106.39.01.00,Other,"[""No.""]",1.80%,ALL
0106.41.00.00,Bees,"[""kg""]",Free,ALL
0106.49.00,Other,,Free,ALL
0106.49.00.10,Leaf cutter bee larvae,"[""kg""]",,ALL
0106.49.00.90,Other,"[""kg""]",,ALL
0106.90.01,Other,,Free,ALL
0106.90.01.10,Worms,"[""kg""]",,ALL
0106.90.01.20,Bait (other than worms),"[""kg""]",,ALL
0106.90.01.80,Other,"[""kg""]",,ALL
0201.10.05,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,4.4¢/kg,ALL
0201.10.05.10,Veal,"[""kg""]",,ALL
0201.10.05.90,Other,"[""kg""]",,ALL
0201.10.10,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,4.4¢/kg,ALL
0201.10.10.10,Veal,"[""kg""]",,ALL
0201.10.10.90,Other,"[""kg""]",,ALL
0201.10.50,Other,,26.40%,ALL
0201.10.50.10,Veal,"[""kg""]",,ALL
0201.10.50.90,Other,"[""kg""]",,ALL
0201.20.02.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0201.20.04.00,Other,"[""kg""]",10.00%,ALL
0201.20.06.00,Other,"[""kg""]",4.4¢/kg,ALL
0201.20.10.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0201.20.30.00,Other,"[""kg""]",10.00%,ALL
0201.20.50,Other,,4.4¢/kg,ALL
0201.20.50.15,Fresh or chilled bone in veal cuts,"[""kg""]",,ALL
0201.20.50.25,Rib cuts,"[""kg""]",,ALL
0201.20.50.35,Chuck cuts,"[""kg""]",,ALL
0201.20.50.45,Loin cuts,"[""kg""]",,ALL
0201.20.50.65,Hip cuts,"[""kg""]",,ALL
0201.20.50.75,Flank or plate cuts,"[""kg""]",,ALL
0201.20.50.91,Other,"[""kg""]",,ALL
0201.20.80,Other,,26.40%,ALL
0201.20.80.10,Bison,"[""kg""]",,ALL
0201.20.80.90,Other,"[""kg""]",,ALL
0201.30.02.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0201.30.04.00,Other,"[""kg""]",10.00%,ALL
0201.30.06.00,Other,"[""kg""]",4.4¢/kg,ALL
0201.30.10.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0201.30.30.00,Other,"[""kg""]",10.00%,ALL
0201.30.50,Other,,4.4¢/kg,ALL
0201.30.50.15,Fresh or chilled boneless veal cuts,"[""kg""]",,ALL
0201.30.50.25,Rib cuts,"[""kg""]",,ALL
0201.30.50.35,Chuck cuts,"[""kg""]",,ALL
0201.30.50.45,Loin cuts,"[""kg""]",,ALL
0201.30.50.55,Brisket cuts,"[""kg""]",,ALL
0201.30.50.65,Hip cuts,"[""kg""]",,ALL
0201.30.50.75,Flank or plate cuts,"[""kg""]",,ALL
0201.30.50.91,Certified organic,"[""kg""]",,ALL
0201.30.50.97,Other,"[""kg""]",,ALL
0201.30.80,Other,,26.40%,ALL
0201.30.80.10,Bison,"[""kg""]",,ALL
0201.30.80.90,Other,"[""kg""]",,ALL
0202.10.05,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,4.4¢/kg,ALL
0202.10.05.10,Veal,"[""kg""]",,ALL
0202.10.05.90,Other,"[""kg""]",,ALL
0202.10.10,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,4.4¢/kg,ALL
0202.10.10.10,Veal,"[""kg""]",,ALL
0202.10.10.90,Other,"[""kg""]",,ALL
0202.10.50,Other,,26.40%,ALL
0202.10.50.10,Veal,"[""kg""]",,ALL
0202.10.50.90,Other,"[""kg""]",,ALL
0202.20.02.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0202.20.04.00,Other,"[""kg""]",10.00%,ALL
0202.20.06.00,Other,"[""kg""]",4.4¢/kg,ALL
0202.20.10.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0202.20.30.00,Other,"[""kg""]",10.00%,ALL
0202.20.50,Other,,4.4¢/kg,ALL
0202.20.50.25,Rib cuts,"[""kg""]",,ALL
0202.20.50.35,Chuck cuts,"[""kg""]",,ALL
0202.20.50.45,Loin cuts,"[""kg""]",,ALL
0202.20.50.90,Other,"[""kg""]",,ALL
0202.20.80.00,Other,"[""kg""]",26.40%,ALL
0202.30.02.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0202.30.04.00,Other,"[""kg""]",10.00%,ALL
0202.30.06.00,Other,"[""kg""]",4.4¢/kg,ALL
0202.30.10.00,High-quality beef cuts,"[""kg""]",4.00%,ALL
0202.30.30.00,Other,"[""kg""]",10.00%,ALL
0202.30.50,Other,,4.4¢/kg,ALL
0202.30.50.15,Frozen boneless veal cuts,"[""kg""]",,ALL
0202.30.50.25,Rib cuts,"[""kg""]",,ALL
0202.30.50.35,Chuck cuts,"[""kg""]",,ALL
0202.30.50.45,Loin cuts,"[""kg""]",,ALL
0202.30.50.55,Brisket cuts,"[""kg""]",,ALL
0202.30.50.65,Hip cuts,"[""kg""]",,ALL
0202.30.50.75,Flank or plate cuts,"[""kg""]",,ALL
0202.30.50.91,Certified organic,"[""kg""]",,ALL
0202.30.50.97,Other,"[""kg""]",,ALL
0202.30.80,Other,,26.40%,ALL
0202.30.80.15,Certified organic,"[""kg""]",,ALL
0202.30.80.25,Other,"[""kg""]",,ALL
0203.11.00.00,Carcasses and half-carcasses,"[""kg""]",Free,ALL
0203.12.10,Processed,,1.4¢/kg,ALL
0203.12.10.10,Hams and cuts thereof,"[""kg""]",,ALL
0203.12.10.20,Shoulders and cuts thereof,"[""kg""]",,ALL
0203.12.90,Other,,Free,ALL
0203.12.90.10,Hams and cuts thereof,"[""kg""]",,ALL
0203.12.90.20,Shoulders and cuts thereof,"[""kg""]",,ALL
0203.19.20,Processed,,1.4¢/kg,ALL
0203.19.20.10,Spare ribs,"[""kg""]",,ALL
0203.19.20.90,Other,"[""kg""]",,ALL
0203.19.40,Other,,Free,ALL
0203.19.40.10,Bellies,"[""kg""]",,ALL
0203.19.40.90,Other,"[""kg""]",,ALL
0203.21.00.00,Carcasses and half-carcasses,"[""kg""]",Free,ALL
0203.22.10.00,Processed,"[""kg""]",1.4¢/kg,ALL
0203.22.90.00,Other,"[""kg""]",Free,ALL
0203.29.20.00,Processed,"[""kg""]",1.4¢/kg,ALL
0203.29.40.00,Other,"[""kg""]",Free,ALL
0204.10.00.00,"Carcasses and half-carcasses of lamb, fresh or chilled","[""kg""]",0.7¢/kg,ALL
0204.21.00.00,Carcasses and half-carcasses,"[""kg""]",2.8¢/kg,ALL
0204.22.20,Lamb,,0.7¢/kg,ALL
0204.22.20.10,Shoulders,"[""kg""]",,ALL
0204.22.20.20,Legs,"[""kg""]",,ALL
0204.22.20.30,Loins,"[""kg""]",,ALL
0204.22.20.90,Other,"[""kg""]",,ALL
0204.22.40.00,Other,"[""kg""]",2.8¢/kg,ALL
0204.23.20.00,Lamb,"[""kg""]",0.7¢/kg,ALL
0204.23.40.00,Other,"[""kg""]",2.8¢/kg,ALL
0204.30.00.00,"Carcasses and half-carcasses of lamb, frozen","[""kg""]",0.7¢/kg,ALL
0204.41.00.00,Carcasses and half-carcasses,"[""kg""]",2.8¢/kg,ALL
0204.42.20,Lamb,,0.7¢/kg,ALL
0204.42.20.10,Shoulders,"[""kg""]",,ALL
0204.42.20.20,Legs,"[""kg""]",,ALL
0204.42.20.30,Loins,"[""kg""]",,ALL
0204.42.20.90,Other,"[""kg""]",,ALL
0204.42.40.00,Other,"[""kg""]",2.8¢/kg,ALL
0204.43.20.00,Lamb,"[""kg""]",0.7¢/kg,ALL
0204.43.40.00,Other,"[""kg""]",2.8¢/kg,ALL
0204.50.00.00,Meat of goats,"[""kg""]",Free,ALL
0205.00.00.00,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","[""kg""]",Free,ALL
0206.10.00.00,"Of bovine animals, fresh or chilled","[""kg""]",Free,ALL
0206.21.00.00,Tongues,"[""kg""]",Free,ALL
0206.22.00.00,Livers,"[""kg""]",Free,ALL
0206.29.00.00,Other,"[""kg""]",Free,ALL
0206.30.00.00,"Of swine, fresh or chilled","[""kg""]",Free,ALL
0206.41.00.00,Livers,"[""kg""]",Free,ALL
0206.49.00.00,Other,"[""kg""]",Free,ALL
0206.80.00.00,"Other, fresh or chilled","[""kg""]",Free,ALL
0206.90.00,"Other, frozen",,Free,ALL
0206.90.00.20,Of sheep (including lamb),"[""kg""]",,ALL
0206.90.00.40,"Of goats, horses, asses, mules or hinnies","[""kg""]",,ALL
0207.11.00,"Not cut in pieces, fresh or chilled",,8.8¢/kg,ALL
0207.11.00.20,"Young (broilers, fryers, roasters and capons)","[""kg""]",,ALL
0207.11.00.40,Other,"[""kg""]",,ALL
0207.12.00,"Not cut in pieces, frozen",,8.8¢/kg,ALL
0207.12.00.20,"Young (broilers, fryers, roasters and capons)","[""kg""]",,ALL
0207.12.00.40,Other,"[""kg""]",,ALL
0207.13.00.00,"Cuts and offal, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.14.00,"Cuts and offal, frozen",,17.6¢/kg,ALL
0207.14.00.20,Livers,"[""kg""]",,ALL
0207.14.00.40,Other,"[""kg""]",,ALL
0207.24.00.00,"Not cut in pieces, fresh or chilled","[""kg""]",15¢/kg,ALL
0207.25.20.00,Valued less than 88¢/kg,"[""kg""]",8.8¢/kg,ALL
0207.25.40.00,Valued 88¢ or more per kg,"[""kg""]",10.00%,ALL
0207.26.00.00,"Cuts and offal, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.27.00,"Cuts and offal, frozen",,17.6¢/kg,ALL
0207.27.00.20,Livers,"[""kg""]",,ALL
0207.27.00.40,Other,"[""kg""]",,ALL
0207.41.00.00,"Not cut in pieces, fresh or chilled","[""kg""]",8.8¢/kg,ALL
0207.42.00.00,"Not cut in pieces, frozen","[""kg""]",8.8¢/kg,ALL
0207.43.00.00,"Fatty livers, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.44.00.00,"Other, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.45.00,"Other, frozen",,17.6¢/kg,ALL
0207.45.00.20,Livers,"[""kg""]",,ALL
0207.45.00.40,Other,"[""kg""]",,ALL
0207.51.00.00,"Not cut in pieces, fresh or chilled","[""kg""]",8.8¢/kg,ALL
0207.52.00.00,"Not cut in pieces, frozen","[""kg""]",8.8¢/kg,ALL
0207.53.00.00,"Fatty livers, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.54.00.00,"Other, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.55.00,"Other, frozen",,17.6¢/kg,ALL
0207.55.00.20,Livers,"[""kg""]",,ALL
0207.55.00.40,Other,"[""kg""]",,ALL
0207.60.10.00,"Not cut in pieces, fresh or chilled","[""kg""]",8.8¢/kg,ALL
0207.60.20.00,"Not cut in pieces, frozen","[""kg""]",8.8¢/kg,ALL
0207.60.30.00,"Fatty livers, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.60.40.00,"Other, fresh or chilled","[""kg""]",17.6¢/kg,ALL
0207.60.60,"Other, frozen",,17.6¢/kg,ALL
0207.60.60.20,Livers,"[""kg""]",,ALL
0207.60.60.40,Other,"[""kg""]",,ALL
0208.10.00.00,Of rabbits or hares,"[""kg""]",6.40%,ALL
0208.30.00.00,Of primates,"[""kg""]",6.40%,ALL
0208.40.01.00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia).","[""kg""]",6.40%,ALL
0208.50.00.00,Of reptiles (including snakes and turtles),"[""kg""]",6.40%,ALL
0208.60.00.00,Of camels and other camelids (Camelidae),"[""kg""]",6.40%,ALL
0208.90.20.00,Deer,"[""kg""]",Free,ALL
0208.90.25.00,Frogsʼ legs,"[""kg""]",Free,ALL
0208.90.30.00,"Quail, eviscerated, not in pieces","[""kg""]",7¢/kg,ALL
0208.90.91.00,Other,"[""kg""]",6.40%,ALL
0209.10.00.00,Of pigs,"[""kg""]",3.20%,ALL
0209.90.00.00,Other,"[""kg""]",3.20%,ALL
0210.11.00,"Hams, shoulders and cuts thereof, with bone in",,1.4¢/kg,ALL
0210.11.00.10,Hams and cuts thereof,"[""kg""]",,ALL
0210.11.00.20,Shoulders and cuts thereof,"[""kg""]",,ALL
0210.12.00,Bellies (streaky) and cuts thereof,,1.4¢/kg,ALL
0210.12.00.20,Bacon,"[""kg""]",,ALL
0210.12.00.40,Other,"[""kg""]",,ALL
0210.19.00,Other,,1.4¢/kg,ALL
0210.19.00.10,Canadian style bacon,"[""kg""]",,ALL
0210.19.00.90,Other,"[""kg""]",,ALL
0210.20.00.00,Meat of bovine animals,"[""kg""]",Free,ALL
0210.91.00.00,Of primates,"[""kg""]",2.30%,ALL
0210.92.01.00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","[""kg""]",2.30%,ALL
0210.93.00.00,Of reptiles (including snakes and turtles),"[""kg""]",2.30%,ALL
0210.99.20.00,Meat of poultry of heading 0105,"[""kg""]",2.30%,ALL
0210.99.91.00,Other,"[""kg""]",2.30%,ALL
0301.11.00,Freshwater,,Free,ALL
0301.11.00.10,Koi (common) carp (Cyprinus carpio),"[""kg""]",,ALL
0301.11.00.20,"Goldfish( Carassius auratus), Crucian carp (Carassius carassius)","[""kg""]",,ALL
0301.11.00.90,Other,"[""kg""]",,ALL
0301.19.00.00,Other,"[""kg""]",Free,ALL
0301.91.00.00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","[""kg""]",Free,ALL
0301.92.00.00,Eels (Anguilla spp.),"[""kg""]",Free,ALL
0301.93.02,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",,Free,ALL
0301.93.02.10,"Grass carp (Ctenopharyngodon idellus), silver carp (Hypophthalmichthys molitrix) and bighead carp (Aristichthys nobilis)","[""kg""]",,ALL
0301.93.02.90,Other,"[""kg""]",,ALL
0301.94.01.00,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","[""kg""]",Free,ALL
0301.95.00.00,Southern Bluefin tunas (Thunnus maccoyii),"[""kg""]",Free,ALL
0301.99.03,Other,,Free,ALL
0301.99.03.10,"Tench (Tinca tinca), sheatfish (Silurus glanis)","[""kg""]",,ALL
0301.99.03.15,Bighead carp (Aristichthys nobilis),"[""kg""]",,ALL
0301.99.03.90,Other,"[""kg""]",,ALL
0302.11.00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache  and Oncorhynchus chrysogaster)",,Free,ALL
0302.11.00.10,"Rainbow trout (Salmo gairdneri), farmed","[""kg""]",,ALL
0302.11.00.90,Other,"[""kg""]",,ALL
0302.13.00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",,Free,ALL
0302.13.00.13,Farmed,"[""kg""]",,ALL
0302.13.00.14,Not farmed,"[""kg""]",,ALL
0302.13.00.22,Chum (dog),"[""kg""]",,ALL
0302.13.00.32,Pink (humpie),"[""kg""]",,ALL
0302.13.00.42,Sockeye (red),"[""kg""]",,ALL
0302.13.00.53,Farmed,"[""kg""]",,ALL
0302.13.00.54,Not farmed,"[""kg""]",,ALL
0302.13.00.62,Other,"[""kg""]",,ALL
0302.14.00,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),,Free,ALL
0302.14.00.03,Farmed,"[""kg""]",,ALL
0302.14.00.04,Not farmed,"[""kg""]",,ALL
0302.14.00.62,Other,"[""kg""]",,ALL
0302.19.00.00,Other,"[""kg""]",Free,ALL
0302.21.00,"Halibut and Greenland turbot (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",,Free,ALL
0302.21.00.10,Atlantic,"[""kg""]",,ALL
0302.21.00.20,Pacific,"[""kg""]",,ALL
0302.21.00.90,Other (including Greenland),"[""kg""]",,ALL
0302.22.00.00,Plaice (Pleuronectes platessa),"[""kg""]",Free,ALL
0302.23.00.00,Sole (Solea spp.),"[""kg""]",1.1¢/kg,ALL
0302.24.00.00,Turbots (Psetta maxima),"[""kg""]",Free,ALL
0302.29.01,Other,,Free,ALL
0302.29.01.10,Flounder,"[""kg""]",,ALL
0302.29.01.90,Other,"[""kg""]",,ALL
0302.31.00.00,Albacore or longfinned tunas (Thunnus alalunga),"[""kg""]",Free,ALL
0302.32.00.00,Yellowfin tunas (Thunnus albacares),"[""kg""]",Free,ALL
0302.33.00.00,Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),"[""kg""]",Free,ALL
0302.34.00.00,Bigeye tunas (Thunnus obesus),"[""kg""]",Free,ALL
0302.35.01.00,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","[""kg""]",Free,ALL
0302.36.00.00,Southern bluefin tunas (Thunnus maccoyii),"[""kg""]",Free,ALL
0302.39.02.00,Other,"[""kg""]",Free,ALL
0302.41.00.00,"Herrings (Clupea harengus, Clupea pallasii)","[""kg""]",Free,ALL
0302.42.00.00,Anchovies (Engraulis spp.),"[""kg""]",Free,ALL
0302.43.00.00,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","[""kg""]",Free,ALL
0302.44.00.00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","[""kg""]",Free,ALL
0302.45.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.45.50.00,Other,"[""kg""]",Free,ALL
0302.46.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.46.50.00,Other,"[""kg""]",Free,ALL
0302.47.00,Swordfish (Xiphias gladius),,Free,ALL
0302.47.00.10,Steaks,"[""kg""]",,ALL
0302.47.00.90,Other,"[""kg""]",,ALL
0302.49.00.00,Other,"[""kg""]",Free,ALL
0302.51.00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,Free,ALL
0302.51.00.10,Atlantic,"[""kg""]",,ALL
0302.51.00.90,Other,"[""kg""]",,ALL
0302.52.00.00,Haddock (Melanogrammus aeglefinus),"[""kg""]",Free,ALL
0302.53.00.00,Coalfish (Pollachius virens),"[""kg""]",Free,ALL
0302.54.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.54.50.00,Other,"[""kg""]",Free,ALL
0302.55.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.55.50.00,Other,"[""kg""]",Free,ALL
0302.56.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.56.50.00,Other,"[""kg""]",Free,ALL
0302.59.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.59.50,Other,,Free,ALL
0302.59.50.10,Pollock,"[""kg""]",,ALL
0302.59.50.90,Other,"[""kg""]",,ALL
0302.71.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.71.50.00,Other,"[""kg""]",Free,ALL
0302.72.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.72.50,Other,,Free,ALL
0302.72.50.01,Ictalurus spp.,"[""kg""]",,ALL
0302.72.50.04,Pangasius spp. including basa and tra,"[""kg""]",,ALL
0302.72.50.34,Other,"[""kg""]",,ALL
0302.73.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.73.50.00,Other,"[""kg""]",Free,ALL
0302.74.00.00,Eels (Anguilla spp.),"[""kg""]",Free,ALL
0302.79.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.79.50,Other,,Free,ALL
0302.79.50.25,Nile perch,"[""kg""]",,ALL
0302.79.50.76,Other,"[""kg""]",,ALL
0302.81.00,Dogfish and other sharks,,Free,ALL
0302.81.00.11,Dogfish (Squalus spp.),"[""kg""]",,ALL
0302.81.00.91,Other,"[""kg""]",,ALL
0302.82.00.00,Rays and skates (Rajidae),"[""kg""]",Free,ALL
0302.83.00.00,Toothfish (Dissostichus spp.),"[""kg""]",Free,ALL
0302.84.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.84.50.00,Other,"[""kg""]",Free,ALL
0302.85.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]",3.00%,ALL
0302.85.50.00,Other,"[""kg""]",Free,ALL
0302.89.11,"Scaled (whether or not heads, viscera and/or fins have been processed), in immediate containers weighing with their contents 6.8 kg or less",,3.00%,ALL
0302.89.11.20,Sable fish (Anoplopoma fimbria),"[""kg""]",,ALL
0302.89.11.40,Other,"[""kg""]",,ALL
0302.89.50,Other,,Free,ALL
0302.89.50.07,Pike,"[""kg""]",,ALL
0302.89.50.10,Pickerel,"[""kg""]",,ALL
0302.89.50.13,Pike perch (including yellow pike),"[""kg""]",,ALL
0302.89.50.25,Other,"[""kg""]",,ALL
0302.89.50.28,Bass,"[""kg""]",,ALL
0302.89.50.31,Whitefish,"[""kg""]",,ALL
0302.89.50.34,Other,"[""kg""]",,ALL
0302.89.50.37,Smelts,"[""kg""]",,ALL
