hs_code,country_rate_text,is_control,is_exclusion,effective_date
0102.31.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.31.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.24,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.28,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.34,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.38,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.54,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.58,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.61,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.72,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.74,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.82,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.39.00.84,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0102.90.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.10.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.91.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.91.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.91.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.91.00.30,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.92.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.92.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.92.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0103.92.00.91,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0104.10.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0104.20.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.11.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.11.00.10,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.11.00.20,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.11.00.40,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.12.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.13.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.14.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.15.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.94.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0105.99.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.11.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.12.01.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.13.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
0106.14.00.00,"""India,10.0"",""Indonesia,10.0"",""Malaysia,10.0"",""Mexico,10.0"",""China,12.5"",""Thailand,12.5"",""Vietnam,12.5""",1,0,2026/7/24
